lga_code,2021 Local Government Area (LGA) Name,seifa_score,Decile,Score,Decile,Score,Decile,Score,Decile,Usual Resident Population
57490,Rockingham,989,6,962,6,1025,9,929,4,135678
57630,Sandstone,954,4,906,2,960,3,870,1,109
57700,Serpentine-Jarrahdale,1028,9,995,8,1090,10,935,5,32173
57770,Shark Bay,970,5,942,5,935,2,915,3,1031
57840,South Perth,1066,10,1086,10,1015,8,1114,10,43405
57910,Stirling,1027,9,1035,9,1005,8,1048,9,226369
57980,Subiaco,1079,10,1119,10,1009,8,1167,10,17267
58050,Swan,995,7,974,7,1033,9,944,6,152974
58190,Tammin,959,4,942,5,974,5,948,6,386
58260,Three Springs,963,4,947,5,964,4,955,6,575
58330,Toodyay,986,6,952,5,1018,8,931,5,4601
58400,Trayning,909,2,896,2,920,2,952,6,298
58470,Upper Gascoyne,910,2,920,3,805,1,960,7,170
58510,Victoria Park,1030,9,1042,9,965,4,1071,9,36889
58540,Victoria Plains,1028,9,1004,8,1031,9,978,8,802
58570,Vincent,1068,10,1097,10,1000,7,1126,10,36537
58610,Wagin,947,3,921,3,970,4,906,3,1761
58680,Wandering,1004,7,982,8,1038,9,962,7,535
58760,Wanneroo,1005,8,988,8,1048,10,961,7,209111
58820,Waroona,936,3,908,2,999,7,860,1,4234
58890,West Arthur,1028,9,1007,8,1017,8,1008,9,773
59030,Westonia,1030,9,1004,8,984,6,997,8,248
59100,Wickepin,994,7,967,7,1009,8,959,7,690
59170,Williams,1030,9,1008,9,1039,9,1006,9,1021
59250,Wiluna,773,1,821,1,741,1,954,6,535
59310,Wongan-Ballidu,963,4,936,4,971,4,936,5,1297
59320,Woodanilling,1003,7,982,8,994,7,1015,9,448
59330,Wyalkatchem,899,2,898,2,902,2,942,5,470
59340,Wyndham-East Kimberley,899,2,934,4,860,1,965,7,7477
59350,Yalgoo,900,2,870,1,870,1,853,1,340
59360,Yilgarn,973,5,955,6,965,4,916,4,1173
59370,York,968,5,938,4,980,5,934,5,3459
60210,Break O'Day,911,2,881,2,930,2,896,2,6770
60410,Brighton,885,1,862,1,924,2,849,1,18995
60610,Burnie,920,2,895,2,924,2,890,2,19918
60810,Central Coast (Tas.),958,4,923,3,969,4,914,3,22760
61010,Central Highlands (Tas.),911,2,888,2,948,3,886,2,2520
61210,Circular Head,943,3,908,2,966,4,884,2,8117
61410,Clarence,1009,8,989,8,992,7,992,8,61531
61510,Derwent Valley,913,2,879,2,950,3,856,1,10942
61610,Devonport,906,2,883,2,920,2,884,2,26150
61810,Dorset,932,3,900,2,957,3,887,2,6829
62010,Flinders (Tas.),963,4,947,5,941,2,968,7,922
62210,George Town,860,1,846,1,906,2,846,1,7033
62410,Glamorgan-Spring Bay,950,4,924,3,962,4,920,4,5012
62610,Glenorchy,927,2,911,3,914,2,918,4,50411
62810,Hobart,1046,9,1062,10,970,4,1104,10,55077
63010,Huon Valley,974,5,946,5,985,6,958,7,18259
63210,Kentish,953,4,918,3,986,6,898,2,6603
63410,King Island,993,7,955,6,987,6,941,5,1617
63610,Kingborough,1038,9,1020,9,1013,8,1039,9,40082
63810,Latrobe (Tas.),974,5,928,4,982,5,905,3,12420
64010,Launceston,939,3,926,3,929,2,941,5,70055
64210,Meander Valley,976,5,940,4,983,6,924,4,20709
64610,Northern Midlands,966,5,929,4,975,5,912,3,13745
64810,Sorell,991,6,946,5,993,7,932,5,16734
65010,Southern Midlands,951,4,911,3,1000,7,887,2,6662
65210,Tasman,923,2,902,2,943,3,931,5,2593
65410,Waratah-Wynyard,929,2,900,2,947,3,896,2,14300
65610,West Coast,861,1,844,1,887,2,832,1,4263
65810,West Tamar,1004,7,970,7,999,7,970,7,25145
70200,Alice Springs,994,7,1004,8,955,3,1014,9,25912
70420,Barkly,670,1,790,1,698,1,887,2,6316
70540,Belyuen,471,1,662,1,475,1,801,1,149
70620,Central Desert,524,1,697,1,589,1,865,1,3591
70700,Coomalie,909,2,900,2,906,2,916,3,1276
71000,Darwin,1027,9,1036,9,979,5,1041,9,80530
71150,Darwin Waterfront Precinct,1117,10,1165,10,960,4,1174,10,293
71300,East Arnhem,486,1,694,1,525,1,866,1,8778
72200,Katherine,961,4,965,7,925,2,976,8,9643
72300,Litchfield,1030,9,1014,9,1061,10,959,7,21411
72330,MacDonnell,566,1,727,1,590,1,861,1,5748
72800,Palmerston,1009,8,998,8,991,6,972,7,37247
73600,Roper Gulf,534,1,709,1,564,1,867,1,6486
74050,Tiwi Islands,564,1,729,1,540,1,860,1,2348
74550,Victoria Daly,590,1,729,1,618,1,833,1,2815
74560,Wagait,985,6,970,7,955,3,1006,9,423
74660,West Arnhem,530,1,728,1,534,1,881,1,6281
74680,West Daly,439,1,677,1,488,1,899,2,2973
79399,Unincorporated NT,1044,9,1014,9,967,4,984,8,6802
89399,Unincorporated ACT,1071,10,1091,10,1037,9,1108,10,453890
99399,Unincorp. Other Territories,989,6,952,5,952,3,961,7,2494
,,,,,,,,,,
,,,,,,,,,,
© Commonwealth of Australia 2023,,,,,,,,,,
